Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1541181660,6348.96,6349,6348.96,6348.99,0.91951236,5837.979953,6348.9956274
1541181720,6349,6350.21,6348.99,6350.21,2.99701432,19031.101845,6350.0203245
1541181780,6350.21,6350.21,6348.22,6348.23,2.27586439,14451.110523,6349.7239058
1541181840,6348.23,6350.05,6348.23,6350.05,1.89880834,12056.951586,6349.7464866
1541181900,6350.05,6352.08,6350.05,6351.91,3.80008482,24136.012721,6351.4405241
1541181960,6351.91,6354.42,6350.35,6354.42,6.70687146,42608.445308,6352.9539164
1541182020,6354.42,6354.42,6354.41,6354.41,0.5394421,3427.8406384,6354.4180893
1541182080,6354.41,6354.42,6354.41,6354.42,4.08906036,25983.594462,6354.4169503
1541182140,6354.42,6354.42,6354.41,6354.42,2.09134572,13289.273909,6354.4127504
1541182200,6354.42,6354.42,6354.41,6354.42,3.27271077,20796.173065,6354.4182566
1541182260,6354.42,6354.42,6354.41,6354.41,0.51662109,3282.8262263,6354.4177539
1541182320,6354.42,6354.42,6351.82,6351.82,1.27560673,8104.7264086,6353.6246854
1541182380,6351.83,6351.83,6351.82,6351.83,1.67343746,10629.377641,6351.8224586
1541182440,6351.83,6352.12,6350.87,6352.07,2.22337337,14122.090449,6351.6504422
1541182500,6350.93,6353.66,6350.15,6353.66,2.31080163,14679.108405,6352.3879393
1541182560,6353.66,6353.66,6351.46,6352.34,0.86735262,5510.7412976,6353.5189386
1541182620,6352.33,6352.34,6352.33,6352.34,3.90652704,24815.550665,6352.3304487
1541182680,6352.33,6352.34,6352,6352.01,1.09261948,6940.6766408,6352.3273819
1541182740,6352.01,6352.01,6352,6352.01,1.95293285,12405.038915,6352.00484
1541182800,6352,6352.63,6352,6352.62,3.90197564,24787.047427,6352.4352057
1541182860,6352.63,6352.63,6352.62,6352.63,2.71722866,17261.544272,6352.6285166
1541182920,6352.63,6352.96,6352.62,6352.63,5.07762388,32256.236861,6352.6243028
1541182980,6352.62,6353.24,6352.62,6353.24,0.76574819,4864.9158885,6353.1536242
1541183040,6353.24,6354,6353.23,6353.99,1.38841619,8821.5198998,6353.6567517
1541183100,6353.99,6353.99,6353.98,6353.99,2.5121575,15962.205814,6353.9829067
1541183160,6353.99,6354,6353.99,6354,1.95828827,12442.949709,6353.9928723
1541183220,6353.99,6354,6353.99,6354,4.37900411,27824.170198,6353.994995
1541183280,6354,6354,6353.99,6354,2.41860969,15367.829821,6353.9933229
1541183340,6354,6354,6353.99,6354,1.32138957,8396.1028884,6353.9951268
1541183400,6354,6354,6353.99,6353.99,1.31566743,8359.7482733,6353.9980414
1541183460,6353.99,6354,6353.99,6354,2.19877696,13971.012669,6353.9926618
1541183520,6354,6354,6353.98,6353.99,18.18978441,115577.64365,6353.9864489
1541183580,6353.99,6353.99,6352.62,6352.62,6.12302387,38900.91029,6353.218788
1541183640,6352.63,6353.7,6352.62,6353.58,3.07595802,19540.933649,6352.795949
1541183700,6353.53,6353.57,6352.62,6352.62,1.53898995,9777.7395114,6353.3485137
1541183760,6352.63,6353.45,6352.62,6352.63,0.93472723,5938.3572638,6353.0376276
1541183820,6352.63,6352.63,6352.62,6352.63,1.7413727,11062.292646,6352.6278128
1541183880,6352.63,6352.63,6352.62,6352.63,2.8031989,17807.677736,6352.627256
1541183940,6352.63,6352.63,6352.62,6352.62,0.52600721,3341.526224,6352.6243757
1541184000,6352.63,6352.63,6352.62,6352.63,3.39842171,21588.905221,6352.6269143
1541184060,6352.63,6352.63,6352.62,6352.63,1.66212013,10558.821507,6352.6223627
1541184120,6352.63,6352.63,6352.62,6352.63,1.95497228,12419.207493,6352.6258761
1541184180,6352.63,6352.63,6352.62,6352.62,1.84306624,11708.306547,6352.6238464
1541184240,6352.63,6352.63,6352.62,6352.63,7.14240398,45373.027161,6352.626831
1541184300,6352.63,6354,6352.63,6354,9.09516778,57786.177334,6353.5031714
1541184360,6354,6354,6352.62,6352.63,3.23180244,20533.540905,6353.5879085
1541184420,6352.63,6352.63,6352.62,6352.63,1.03983348,6605.6733372,6352.6261312
1541184480,6352.63,6352.63,6352.62,6352.63,2.33495355,14833.07937,6352.6228906
1541184540,6352.63,6352.9,6352,6352.01,5.45901537,34678.710506,6352.5577701
1541184600,6352.01,6353.6,6352,6353.07,2.42015847,15374.528224,6352.6948397
1541184660,6353.06,6353.95,6352,6353.95,4.6267676,29393.326411,6352.8858486
1541184720,6353.94,6353.95,6353.94,6353.95,1.97870736,12572.591108,6353.9416499
1541184780,6353.95,6353.95,6353.94,6353.94,0.84906702,5394.9256464,6353.9455889
1541184840,6353.95,6353.95,6353.94,6353.95,0.88813007,5643.1324984,6353.9482437
1541184900,6353.94,6353.95,6353.94,6353.95,0.86144797,5473.594773,6353.947033
1541184960,6353.95,6353.95,6353.94,6353.94,1.62555986,10328.71777,6353.9448928
1541185020,6353.95,6353.95,6353.94,6353.95,2.5365799,16117.280005,6353.9413859
1541185080,6353.95,6353.95,6353.94,6353.95,1.67972597,10672.890473,6353.9474081
1541185140,6353.95,6353.95,6353.94,6353.95,3.58602033,22785.381611,6353.9465799
1541185200,6353.95,6353.95,6353.94,6353.95,16.82003135,106873.47345,6353.9402051
1541185260,6353.94,6353.94,6352,6352.1,5.13009698,32586.883511,6352.0989248
1541185320,6352.62,6353.51,6352,6353.32,1.25317327,7961.3084616,6352.9191471
1541185380,6353.32,6353.36,6351.92,6351.93,1.86937065,11874.389509,6352.0787111
1541185440,6351.93,6351.93,6350.13,6351.03,2.66247432,16909.452436,6351.0293073
1541185500,6350.19,6351.17,6350,6351.17,2.70481431,17177.929066,6350.8718519
1541185560,6351.15,6351.17,6350.83,6351.16,1.42087236,9024.1075274,6351.1035765
1541185620,6351.16,6351.16,6349,6349.01,13.77705937,87484.350232,6350.0016863
1541185680,6349.01,6351.17,6349.01,6351.17,5.97610965,37949.375789,6350.1806379
1541185740,6351.17,6351.17,6351.16,6351.17,1.03619166,6581.0240762,6351.1648764
1541185800,6351.17,6351.17,6351.16,6351.17,1.88932064,11999.383856,6351.1632708
1541185860,6351.17,6351.17,6350.18,6351.17,1.52635899,9693.0268687,6350.4240694
1541185920,6351.17,6351.17,6351.16,6351.17,3.67521831,23341.904162,6351.1612627
1541185980,6351.16,6351.17,6348.35,6348.36,2.27954335,14474.769402,6349.8548521
1541186040,6348.36,6349.92,6348.35,6349.91,1.52600268,9688.5952156,6349.0027525
1541186100,6349.91,6349.91,6347.93,6349.71,6.52824384,41445.345885,6348.6209922
1541186160,6349.71,6349.71,6348.32,6348.32,13.51391667,85801.771092,6349.1416432
1541186220,6348.33,6348.77,6348.32,6348.76,0.56100563,3561.4867603,6348.397538
1541186280,6348.77,6348.77,6348.76,6348.77,0.74753702,4745.9363893,6348.7643586
1541186340,6348.77,6348.77,6348,6348,3.20704329,20359.706844,6348.4353041
1541186400,6348,6348.03,6348,6348.02,1.93123665,12259.506525,6348.008425
1541186460,6348.02,6348.03,6348.02,6348.03,3.58285078,22744.010179,6348.0204943
1541186520,6348.03,6348.77,6348.02,6348.77,1.38089054,8766.0207742,6348.0924232
1541186580,6348.77,6350.19,6348.76,6349.23,5.83944155,37076.927545,6349.3961241
1541186640,6349.22,6349.48,6349.22,6349.27,2.27908958,14470.563482,6349.2736789
1541186700,6349.26,6349.65,6349.26,6349.61,2.09535852,13304.08334,6349.3112098
1541186760,6349.61,6349.66,6349.26,6349.27,1.03721709,6585.7696868,6349.4612172
1541186820,6349.27,6349.27,6349.26,6349.27,1.39233263,8840.2874705,6349.2640192
1541186880,6349.27,6350.05,6348.77,6349.9,3.4965323,22200.587983,6349.3158588
1541186940,6349.89,6349.89,6349.45,6349.45,0.98762493,6271.2911255,6349.8712264
1541187000,6349.45,6349.46,6348.94,6349.05,1.65469744,10505.92573,6349.1521023
1541187060,6349.04,6350.19,6349.02,6350.13,1.51335383,9608.8951208,6349.4041713
1541187120,6350.13,6350.25,6350.12,6350.24,2.63566456,16737.098904,6350.2386299
1541187180,6350.24,6353.64,6350.24,6353.64,3.99818096,25393.798919,6351.3380643
1541187240,6353.64,6354,6353.64,6354,2.77059288,17604.300989,6353.9833355
1541187300,6354,6354,6353.99,6354,7.57887277,48156.122992,6353.9954362
1541187360,6354,6354.42,6353.99,6354.42,3.04907603,19374.442725,6354.2012511
1541187420,6354.42,6355,6354.41,6355,1.93534142,12298.155004,6354.5144424
1541187480,6355,6357.31,6355,6355.61,1.68052657,10682.84881,6356.8461226
1541187540,6355.61,6356.43,6355.1,6355.11,3.01565761,19166.322654,6355.6030334
1541187600,6355.11,6355.11,6351.11,6352.9,13.04321346,82876.394136,6353.9858786
1541187660,6353.84,6353.84,6351.76,6353.16,1.42988386,9083.6337896,6352.7074077
1541187720,6353.16,6353.16,6351.76,6353.16,3.31101054,21034.379684,6352.8579658
1541187780,6353.15,6354.71,6353.15,6353.22,1.62950655,10353.310701,6353.6477967
1541187840,6353.97,6354.7,6353.23,6354.6,2.59391325,16481.089238,6353.7549832
1541187900,6354.55,6354.55,6353.15,6353.16,0.8379606,5324.2917694,6353.8688685
1541187960,6354.21,6354.34,6353.15,6354.33,1.12447405,7144.6929929,6353.808692
1541188020,6354.34,6354.95,6353.53,6354.64,2.04858072,13017.886209,6354.5878774
1541188080,6354.64,6355,6354.27,6354.74,1.01130237,6426.4538488,6354.6314529
1541188140,6354.99,6355,6354.3,6354.33,0.6513631,4139.1769127,6354.6383157
1541188200,6354.98,6355,6353.15,6353.15,9.90385909,62925.348625,6353.619135
1541188260,6354.63,6354.7,6353.15,6354.6,1.63894665,10413.208839,6353.5984158
1541188320,6353.99,6354.5,6353.23,6354.44,0.9876786,6276.1028187,6354.3978969
1541188380,6354.44,6354.44,6353.56,6354.05,1.67674293,10654.465727,6354.2630989
1541188440,6354.06,6354.06,6353.99,6354,0.69196891,4396.7750835,6354.0066901
1541188500,6354,6354.06,6353.99,6354.06,0.72564674,4610.7700916,6354.0147532
1541188560,6354.06,6355,6354.05,6354.95,6.97253054,44309.403867,6354.8526051
1541188620,6354.95,6354.95,6354.81,6354.82,0.40530353,2575.6742597,6354.926787
1541188680,6354.83,6354.95,6353.99,6354.84,4.33984497,27576.625911,6354.2882526
1541188740,6354.5,6354.95,6354.02,6354.95,1.82392192,11589.302723,6354.0563857
1541188800,6354.95,6354.95,6354.02,6354.03,2.26817632,14412.428409,6354.1922566
1541188860,6354.02,6354.03,6354.02,6354.03,2.38960727,15183.629158,6354.027019
1541188920,6354.02,6354.03,6354,6354.01,0.73064102,4642.509075,6354.021945
1541188980,6354,6354.78,6354,6354.01,1.31188475,8335.8747733,6354.1212544
1541189040,6354.71,6354.73,6354,6354.73,1.69245733,10754.590413,6354.4233718
1541189100,6354.73,6354.73,6353.33,6354.27,2.38360478,15145.707498,6354.1186129
1541189160,6354.26,6354.27,6353.37,6353.72,0.55944745,3554.6386757,6353.8383734
1541189220,6353.72,6354.72,6353,6353.2,5.35622231,34030.744947,6353.4974796
1541189280,6353.44,6353.44,6353,6353.01,1.33635973,8490.0752798,6353.1361274
1541189340,6353.01,6353.01,6351.29,6351.3,2.61348605,16600.642229,6351.9153771
1541189400,6351.3,6351.3,6351.1,6351.29,3.56481921,22641.034586,6351.2434298
1541189460,6351.23,6351.3,6351.1,6351.1,1.99456667,12667.802865,6351.1553943
1541189520,6351.19,6351.45,6351.11,6351.22,1.58189918,10047.151218,6351.3220977
1541189580,6351.36,6351.44,6350.86,6351.05,11.7790977,74809.698788,6351.0551227
1541189640,6351.05,6352.6,6351.03,6352.6,2.49131285,15823.312923,6351.3953791
1541189700,6352.32,6352.55,6351,6352.43,2.28862714,14536.405293,6351.5830248
1541189760,6352.42,6352.64,6351,6352.64,3.6091447,22923.339769,6351.4604358
1541189820,6352.64,6352.64,6351,6352.64,6.03614206,38342.255113,6352.1127787
1541189880,6352.8,6353.53,6352.77,6353.1,1.39487563,8861.5086435,6352.9023326
1541189940,6353.1,6353.44,6352.77,6353.44,3.14445356,19977.212943,6353.1588438
1541190000,6353.44,6353.54,6353.44,6353.53,1.49078883,9471.7774467,6353.533952
1541190060,6353.54,6354.4,6352.77,6354.09,4.77863139,30359.068617,6353.088602
1541190120,6353.93,6354.5,6352.78,6353.07,4.34716149,27617.708162,6353.0439863
1541190180,6353.07,6353.07,6352.78,6352.79,2.18804201,13900.261886,6352.8313544
1541190240,6352.79,6352.85,6351,6352.85,4.64288944,29490.971973,6351.8574702
1541190300,6352.85,6353.97,6352.84,6353.97,2.86518083,18202.38515,6352.9620748
1541190360,6353.97,6353.97,6352.85,6353.89,3.0067655,19104.198578,6353.7374559
1541190420,6352.85,6353.89,6352.77,6353.78,1.51964221,9654.7513566,6353.3055959
1541190480,6353.78,6353.78,6353.77,6353.77,0.97444562,6191.4108296,6353.7776788
1541190540,6353.78,6353.78,6353.77,6353.78,1.31920123,8381.9080019,6353.7751567
1541190600,6353.78,6353.78,6353.77,6353.78,1.21845577,7741.7957279,6353.776574
1541190660,6353.78,6353.78,6353.77,6353.77,0.75874547,4820.899555,6353.7770512
1541190720,6353.78,6354,6353.77,6354,2.53938221,16134.897004,6353.8670709
1541190780,6354,6354.01,6353.99,6354,1.31111113,8330.7917376,6353.9936066
1541190840,6354,6354,6353.99,6353.99,2.21398502,14067.647511,6353.9939898
1541190900,6353.99,6354.23,6353.99,6354.23,2.09386899,13304.457658,6354.0067319
1541190960,6354.02,6354.99,6353.99,6354.99,3.38258401,21495.505626,6354.7588361
1541191020,6354.99,6354.99,6354.25,6354.99,1.18134315,7507.2429872,6354.8368543
1541191080,6354.99,6354.99,6353.99,6354.99,2.49952659,15883.703154,6354.6846102
